SAMPLE_ID	mutations
CWR22Rv1	prad_mskcc_sequenom_sanger
DU145	prad_mskcc_sequenom_sanger
LAPC3-1	prad_mskcc_sequenom_sanger
LAPC4-1	prad_mskcc_sequenom_sanger
LAPC9	prad_mskcc_sequenom_sanger
LNCaP	prad_mskcc_sequenom_sanger
LNCaP104S	prad_mskcc_sequenom_sanger
LNM971	prad_mskcc_sequenom_sanger
LuCAP35	prad_mskcc_sequenom_sanger
PC3	prad_mskcc_sequenom_sanger
PCA0001	prad_mskcc_sequenom_sanger
PCA0002	prad_mskcc_sequenom_sanger
PCA0003	prad_mskcc_sequenom
PCA0004	prad_mskcc_sequenom
PCA0005	prad_mskcc_sequenom_sanger
PCA0006	prad_mskcc_sequenom
PCA0007	prad_mskcc_sequenom
PCA0008	prad_mskcc_sequenom
PCA0009	prad_mskcc_sequenom
PCA0010	prad_mskcc_sequenom
PCA0011	prad_mskcc_sequenom
PCA0012	prad_mskcc_sequenom
PCA0013	prad_mskcc_sequenom_sanger
PCA0014	prad_mskcc_sequenom
PCA0015	prad_mskcc_sequenom_sanger
PCA0016	prad_mskcc_sequenom
PCA0017	prad_mskcc_sequenom_sanger
PCA0018	prad_mskcc_sequenom
PCA0019	prad_mskcc_sequenom
PCA0020	prad_mskcc_sequenom_sanger
PCA0021	prad_mskcc_sequenom_sanger
PCA0022	prad_mskcc_sequenom
PCA0024	prad_mskcc_sequenom_sanger
PCA0025	prad_mskcc_sequenom_sanger
PCA0026	prad_mskcc_sequenom
PCA0027	prad_mskcc_sequenom_sanger
PCA0028	prad_mskcc_sequenom
PCA0029	prad_mskcc_sequenom_sanger
PCA0032	prad_mskcc_sequenom
PCA0033	prad_mskcc_sequenom
PCA0034	prad_mskcc_sequenom
PCA0035	prad_mskcc_sequenom
PCA0036	prad_mskcc_sequenom
PCA0037	prad_mskcc_sequenom_sanger
PCA0038	prad_mskcc_sequenom
PCA0039	prad_mskcc_sequenom
PCA0040	prad_mskcc_sequenom
PCA0041	prad_mskcc_sequenom
PCA0042	prad_mskcc_sequenom
PCA0043	prad_mskcc_sequenom
PCA0044	prad_mskcc_sequenom
PCA0045	prad_mskcc_sequenom
PCA0046	prad_mskcc_sequenom
PCA0047	prad_mskcc_sequenom
PCA0048	prad_mskcc_sequenom
PCA0049	prad_mskcc_sequenom
PCA0050	prad_mskcc_sequenom
PCA0051	prad_mskcc_sequenom
PCA0054	prad_mskcc_sequenom
