"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0044391","CC","GO:0044391","ribosomal subunit",178,0.820296721757863,4.15133244828059,1e-10,5.20064935064935e-09,3.25358851674641e-09,1847,"tags=78%, list=11%, signal=70%","64960/65993/54948/51121/64928/6182/6156/51650/6183/6168/6152/6167/6143/6209/64951/55651/6204/6157/11224/64949/51373/6227/79590/6217/6158/6176/9045/7311/6150/6181/64975/6201/6128/51642/6142/6235/6130/57129/6223/6165/6132/54998/51116/29093/6187/6161/6169/3921/6175/25873/6155/6207/6188/6205/6218/64969/6160/6159/6124/6229/55052/6222/6202/51021/28957/51253/6147/2197/6208/23521/118487/116540/6210/6194/6141/9349/64963/90480/6164/6136/6203/6230/6135/29088/6191/54460/64432/128308/219927/6233/6193/51069/64965/65005/10573/6224/28998/64979/6170/63875/64978/6134/51258/6138/51073/51264/51081/6137/6171/6166/64976/6228/65003/122704/116541/6154/6122/64981/6129/4869/6139/6192/6206/55272/4736/7818/6125/51538/84545/6146/6189/65080/51023/65008/84311/6173/26156/28973"
"GO:0003735","MF","GO:0003735","structural constituent of ribosome",158,0.826011198655506,4.11981431366492,1e-10,5.20064935064935e-09,3.25358851674641e-09,1768,"tags=79%, list=11%, signal=71%","64960/65993/54948/51121/64928/6182/6156/51650/6183/6168/6152/6167/6143/6209/64951/6204/6157/11224/51373/6227/79590/6217/6158/6176/9045/7311/6150/6181/64975/6201/6128/6142/6235/6130/57129/6223/6165/6132/51116/29093/6187/6161/6169/3921/6175/25873/6155/6207/6188/6205/6218/64969/6160/6159/6124/6229/55052/6222/6202/51021/51253/6147/2197/6208/23521/6210/6194/6141/9349/64963/200916/6164/6136/6203/6230/6135/29088/6191/54460/64432/4701/128308/219927/6233/6193/51069/64965/65005/10573/6224/28998/64979/6170/63875/6134/51258/6138/51073/51264/51081/6137/6171/6166/6228/65003/122704/116541/6154/6122/64981/6129/6139/6192/6206/55272/4736/7818/6125/645683/84545/6146/6189/51023/65008/6173"
"GO:0005840","CC","GO:0005840","ribosome",220,0.760462516098041,3.94806828282992,1e-10,5.20064935064935e-09,3.25358851674641e-09,1847,"tags=66%, list=11%, signal=60%","64960/65993/54948/51121/64928/6182/6156/51650/6183/6168/6152/6167/6143/6209/64951/55651/6204/6157/11224/64949/51373/6227/79590/6217/6158/6176/9045/7311/6150/6181/64975/6201/6128/51642/6142/6235/6130/57129/6223/6165/6132/54998/51116/29093/6187/6161/6169/3921/6175/25873/6155/6207/6188/6205/6218/64969/6160/6159/6124/6229/55052/6222/6202/51021/28957/51253/6147/2197/6208/23521/118487/116540/6210/6194/6141/9349/64963/200916/90480/6164/6136/6203/6230/6135/29088/6191/54460/64432/4701/128308/219927/6233/6193/51069/64965/65005/10573/6224/28998/64979/92170/6170/63875/8667/64978/6134/51258/6138/51073/51264/51081/6137/6171/6166/64976/64320/6228/65003/122704/116541/6154/6122/90850/328/64981/6129/4869/6139/6192/6206/55272/4736/7818/6125/645683/51538/84545/6146/6189/65080/51023/65008/84311/6173/26156/28973"
"GO:0098798","CC","GO:0098798","mitochondrial protein-containing complex",239,0.739112021446164,3.89845755899595,1e-10,5.20064935064935e-09,3.25358851674641e-09,2445,"tags=67%, list=15%, signal=58%","64960/4716/9377/65993/54948/64928/6182/3028/51650/6183/7388/64951/26517/64949/51373/4702/79590/10452/4705/4726/4694/440567/293/1349/4706/6150/1345/64975/23203/7381/51642/140823/4715/57129/4707/4695/54998/51116/29093/1337/26519/1329/4729/26521/4580/581/64969/92609/1340/55052/54539/4713/51021/1537/617/28957/51253/27089/26520/118487/116540/1351/64963/56993/100188893/7384/90480/4708/10975/401505/4723/29088/54460/10469/3421/64432/4701/128308/219927/51069/4722/51079/4712/57128/64965/84303/54543/10245/65005/10573/4728/28998/64979/1350/126328/4696/63875/64978/4709/4731/51258/51073/51264/51081/4718/1678/4710/4725/6832/55967/64976/4717/5442/196294/80273/55572/65003/10295/29796/122704/116541/4711/3420/79135/64981/374291/9512/4700/1347/5160/4697/4714/131118/10105/7818/9054/4704/84545/9167/6390/65080/51023/65008/84311/11331/28973/7386/1327/400916/84769/11222/10651/10440/11232/56945/56901/292/4720/25813/8802/29074"
"GO:0015934","CC","GO:0015934","large ribosomal subunit",110,0.815736929967501,3.82391345770488,1e-10,5.20064935064935e-09,3.25358851674641e-09,1820,"tags=78%, list=11%, signal=70%","54948/51121/64928/6182/6156/6168/6152/6167/6143/55651/6157/11224/79590/6158/6176/9045/7311/6150/6181/64975/6128/51642/6142/6130/57129/6165/6132/29093/6161/6169/6175/25873/6155/6160/6159/6124/55052/51253/6147/23521/116540/6141/9349/90480/6164/6136/6135/29088/128308/219927/51069/65005/10573/28998/64979/6170/63875/64978/6134/51258/6138/51073/51264/6137/6171/6166/64976/65003/122704/116541/6154/6122/64981/6129/4869/6139/4736/6125/51538/84545/6146/65080/65008/84311/6173/26156"
"GO:0022626","CC","GO:0022626","cytosolic ribosome",108,0.800313459404847,3.74163215381413,1e-10,5.20064935064935e-09,3.25358851674641e-09,1820,"tags=76%, list=11%, signal=68%","51121/6156/6168/6152/6167/6143/6209/55651/6204/6157/11224/6227/6217/6158/6176/9045/7311/6181/6201/6128/6142/6235/6130/6223/6165/6132/6187/6161/6169/3921/6175/25873/6155/6207/6188/6205/6218/6160/6159/6124/6229/6222/6202/6147/2197/6208/23521/6210/6194/6141/9349/6164/6136/6203/6230/6135/6191/6233/6193/6224/6170/6134/6138/6137/6171/6166/64320/6228/6154/6122/90850/6129/6139/6192/6206/4736/6125/51538/6146/6189/6173/26156"
"GO:0002181","BP","GO:0002181","cytoplasmic translation",145,0.735577495823435,3.64347270897521,1e-10,5.20064935064935e-09,3.25358851674641e-09,2078,"tags=70%, list=13%, signal=61%","51121/6156/6168/6152/6167/6143/6209/6204/6157/11224/6227/6217/6158/6176/9045/7311/6181/6201/6128/6142/6235/6130/6223/6165/6132/6187/6161/6169/3921/6175/28985/25873/6155/6207/6188/6205/8662/6218/6160/6159/6124/6229/6222/6202/8668/6147/2197/6208/23521/6210/6194/6141/9349/200916/6164/6136/6203/6230/6135/6191/8665/10480/6233/6193/4733/6224/6170/5936/27335/8667/6134/6138/8666/6137/6171/8891/6228/8894/6154/6122/6129/6139/6206/4736/24140/6125/26986/57409/8664/6146/6189/1968/7884/6173/1973/1819/4904/8562/6144/3184/728689"
"GO:0005743","CC","GO:0005743","mitochondrial inner membrane",394,0.634116642538441,3.56834612592497,1e-10,5.20064935064935e-09,3.25358851674641e-09,2889,"tags=56%, list=17%, signal=47%","64960/4716/119559/9377/65993/54948/64928/6182/51650/6183/7388/64951/26517/64949/51373/4702/79590/10452/4705/4726/4694/440567/293/1349/4706/6150/1345/64975/23203/7381/51642/140823/4715/57129/4707/4695/54998/51116/29093/1337/26519/9131/6188/1329/4729/26521/30968/1468/4580/51629/64969/92609/1340/55210/55052/54539/79751/4713/51021/1537/54958/617/192286/28957/51253/27089/283130/26520/118487/116540/1351/84275/64963/7384/90480/4708/10975/4723/29088/54460/10469/64432/4701/128308/51117/219927/84277/25880/51069/4722/51079/4712/60386/64965/84303/10245/51295/65005/91942/10573/4728/83985/9997/25915/28998/64979/84233/92170/79714/1350/126328/4696/63875/64978/83858/4709/4731/51258/51073/51264/51081/4718/54977/1678/4710/4725/55967/64976/8834/79064/4717/196294/6834/2356/80273/55572/65003/29796/10131/6576/28976/122704/5498/116541/6472/4711/2021/79135/4833/9016/64981/374291/9512/26284/5250/55486/4700/1347/4697/84274/4714/131118/3329/622/114971/7818/4704/84545/51241/9167/5018/6390/65080/51023/123096/65008/84311/11331/28973/7386/1327/400916/54968/399512/84769/54946/54205/11222/10651/10440/25875/56945/23464/11194/57143/3954/5832/56848/56901/284439/292/4720/25813/29074/7352/134266/118980/81894/112724/598/54927/6389/29928/26589/64968/57048/51103/51004/117145/284427/115286"
"GO:0006119","BP","GO:0006119","oxidative phosphorylation",105,0.7672175998554,3.56660067284434,1e-10,5.20064935064935e-09,3.25358851674641e-09,1880,"tags=66%, list=11%, signal=59%","4716/9377/7388/4702/4705/4726/4694/440567/1349/4706/1345/7381/4715/4707/4695/1337/1329/4729/30968/1340/54539/4713/1537/27089/1351/84275/7384/4708/10975/4723/4701/84277/4722/51079/4712/4728/11315/51142/26471/1350/126328/4696/4709/4731/1716/4718/4710/4725/55967/4717/29796/6472/4711/374291/54949/983/4700/1347/4697/4714/891/10105/4704/9167/6390/637/7386/1327/400916"
"GO:0042773","BP","GO:0042773","ATP synthesis coupled electron transport",82,0.798142432087359,3.55129528028247,1e-10,5.20064935064935e-09,3.25358851674641e-09,1866,"tags=72%, list=11%, signal=64%","4716/9377/7388/4702/4705/4726/4694/440567/1349/4706/1345/7381/4715/4707/4695/1337/1329/4729/1340/4713/1537/27089/1351/7384/4708/10975/4723/4701/4722/4712/4728/11315/51142/1350/4696/4709/4731/1716/4718/4710/4725/55967/4717/29796/4711/374291/54949/983/4700/1347/4697/4714/891/4704/9167/6390/637/7386/1327"
"GO:0042775","BP","GO:0042775","mitochondrial ATP synthesis coupled electron transport",82,0.798142432087359,3.55129528028247,1e-10,5.20064935064935e-09,3.25358851674641e-09,1866,"tags=72%, list=11%, signal=64%","4716/9377/7388/4702/4705/4726/4694/440567/1349/4706/1345/7381/4715/4707/4695/1337/1329/4729/1340/4713/1537/27089/1351/7384/4708/10975/4723/4701/4722/4712/4728/11315/51142/1350/4696/4709/4731/1716/4718/4710/4725/55967/4717/29796/4711/374291/54949/983/4700/1347/4697/4714/891/4704/9167/6390/637/7386/1327"
"GO:0022625","CC","GO:0022625","cytosolic large ribosomal subunit",56,0.862760143897751,3.54937482826076,1e-10,5.20064935064935e-09,3.25358851674641e-09,1993,"tags=91%, list=12%, signal=80%","51121/6156/6168/6152/6167/6143/55651/6157/11224/6158/6176/9045/7311/6181/6128/6142/6130/6165/6132/6161/6169/6175/25873/6155/6160/6159/6124/6147/23521/6141/9349/6164/6136/6135/6170/6134/6138/6137/6171/6166/6154/6122/6129/6139/4736/6125/51538/6146/6173/26156/6144"
"GO:0015935","CC","GO:0015935","small ribosomal subunit",72,0.816262599950008,3.54875605347903,1e-10,5.20064935064935e-09,3.25358851674641e-09,1665,"tags=74%, list=10%, signal=67%","64960/65993/51650/6183/6209/64951/6204/64949/51373/6227/6217/7311/6201/6235/6223/54998/51116/6187/3921/6207/6188/6205/6218/64969/6229/6222/6202/51021/28957/2197/6208/118487/6210/6194/64963/6203/6230/6191/54460/64432/6233/6193/64965/6224/51081/6228/4869/6192/6206/55272/7818/6189/51023"
"GO:0098803","CC","GO:0098803","respiratory chain complex",75,0.807392731606535,3.54140071055853,1e-10,5.20064935064935e-09,3.25358851674641e-09,1866,"tags=76%, list=11%, signal=68%","4716/9377/7388/4702/4705/4726/4694/440567/1349/4706/1345/7381/4715/4707/4695/1337/1329/4729/1340/54539/4713/1537/617/27089/1351/7384/4708/10975/4723/4701/4722/51079/4712/4728/1350/126328/4696/4709/4731/4718/4710/4725/55967/4717/55572/29796/4711/374291/4700/1347/4697/4714/4704/9167/6390/7386/1327"
"GO:0098800","CC","GO:0098800","inner mitochondrial membrane protein complex",104,0.760108125632521,3.53410657894208,1e-10,5.20064935064935e-09,3.25358851674641e-09,2710,"tags=78%, list=16%, signal=66%","4716/9377/7388/4702/4705/4726/4694/440567/293/1349/4706/1345/7381/140823/4715/4707/4695/1337/26519/1329/4729/4580/92609/1340/54539/4713/1537/617/27089/26520/1351/7384/4708/10975/4723/10469/4701/4722/51079/4712/84303/10245/4728/1350/126328/4696/4709/4731/4718/4710/4725/55967/4717/196294/80273/55572/29796/4711/79135/374291/4700/1347/4697/4714/131118/4704/9167/6390/11331/7386/1327/400916/10651/10440/56901/4720/25813/134266/54927/6389/29928"
"GO:0005746","CC","GO:0005746","mitochondrial respirasome",77,0.797002940971054,3.50880175224913,1e-10,5.20064935064935e-09,3.25358851674641e-09,1866,"tags=75%, list=11%, signal=67%","4716/9377/7388/4702/4705/4726/4694/440567/1349/4706/1345/7381/4715/4707/4695/1337/1329/4729/1340/54539/4713/1537/617/27089/1351/7384/4708/10975/4723/4701/4722/51079/4712/4728/1350/126328/4696/4709/4731/4718/4710/4725/55967/4717/6834/55572/29796/4711/374291/4700/1347/4697/4714/4704/9167/6390/7386/1327"
"GO:0032543","BP","GO:0032543","mitochondrial translation",119,0.731269560493656,3.48193485322105,1e-10,5.20064935064935e-09,3.25358851674641e-09,2136,"tags=60%, list=13%, signal=52%","64960/65993/26995/54948/64928/6182/51650/6183/64951/64949/51373/79590/6150/64975/51642/57129/54998/51116/29093/10102/7284/64969/55052/51021/28957/51253/118487/116540/64963/90480/29088/54460/219402/64432/4701/128308/219927/51069/64965/65005/10573/28998/64979/51654/92170/63875/64978/51258/51073/51264/51081/51204/64976/285367/65003/122704/116541/6472/64981/7818/84545/65080/51023/65008/84311/28973/84881/708/84769/11222/54938"
"GO:0070469","CC","GO:0070469","respirasome",83,0.777920074040393,3.48070257046988,1e-10,5.20064935064935e-09,3.25358851674641e-09,1866,"tags=71%, list=11%, signal=63%","4716/9377/7388/4702/4705/4726/4694/440567/1349/4706/1345/7381/4715/4707/4695/1337/1329/4729/1340/54539/4713/1537/617/192286/27089/1351/7384/4708/10975/4723/4701/4722/51079/4712/4728/1350/126328/4696/4709/4731/4718/4710/4725/55967/4717/6834/55572/29796/4711/374291/4700/1347/4697/4714/4704/9167/6390/7386/1327"
"GO:0019646","BP","GO:0019646","aerobic electron transport chain",75,0.792015356201382,3.47395218637132,1e-10,5.20064935064935e-09,3.25358851674641e-09,1866,"tags=71%, list=11%, signal=63%","4716/9377/7388/4702/4705/4726/4694/440567/1349/4706/1345/7381/4715/4707/4695/1337/1329/4729/1340/4713/1537/27089/1351/7384/4708/10975/4723/4701/4722/4712/4728/11315/1350/4696/4709/4731/4718/4710/4725/4717/29796/4711/374291/54949/4700/1347/4697/4714/4704/9167/6390/7386/1327"
"GO:0000313","CC","GO:0000313","organellar ribosome",85,0.773386147025272,3.44326005266467,1e-10,5.20064935064935e-09,3.25358851674641e-09,2246,"tags=72%, list=14%, signal=62%","64960/65993/54948/64928/6182/51650/6183/64951/64949/51373/79590/6150/64975/51642/57129/54998/51116/29093/64969/55052/51021/28957/51253/118487/116540/64963/90480/29088/54460/64432/4701/128308/219927/51069/64965/65005/10573/28998/64979/92170/63875/64978/51258/51073/51264/51081/64976/65003/122704/116541/64981/7818/84545/65080/51023/65008/84311/28973/84769/11222/56945"
"GO:0005761","CC","GO:0005761","mitochondrial ribosome",85,0.773386147025272,3.44326005266467,1e-10,5.20064935064935e-09,3.25358851674641e-09,2246,"tags=72%, list=14%, signal=62%","64960/65993/54948/64928/6182/51650/6183/64951/64949/51373/79590/6150/64975/51642/57129/54998/51116/29093/64969/55052/51021/28957/51253/118487/116540/64963/90480/29088/54460/64432/4701/128308/219927/51069/64965/65005/10573/28998/64979/92170/63875/64978/51258/51073/51264/51081/64976/65003/122704/116541/64981/7818/84545/65080/51023/65008/84311/28973/84769/11222/56945"
"GO:0015453","MF","GO:0015453","oxidoreduction-driven active transmembrane transporter activity",54,0.829129121260939,3.39600044085432,1e-10,5.20064935064935e-09,3.25358851674641e-09,1866,"tags=81%, list=11%, signal=73%","4716/9377/7388/4702/4705/4726/4694/1349/4715/4707/4695/1329/4729/1340/4713/1537/1351/7384/4708/4723/4701/4722/4712/4728/4696/4709/4731/4718/4710/4725/55967/4717/6834/29796/4711/374291/4700/4697/4714/11068/4704/9167/7386/1327"
