"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0044391","CC","GO:0044391","ribosomal subunit",178,-0.813291307357184,-4.81169188611041,1e-10,2.24491525423729e-09,1.2197442759441e-09,2636,"tags=85%, list=16%, signal=73%","6144/54534/54148/51649/6129/83939/10884/11222/6173/65003/4869/26589/51065/51023/6206/28977/51073/7818/64981/84769/55168/26156/65008/29088/28973/6192/29074/6224/28957/51538/60488/64432/6189/28998/84311/6228/51081/54460/64978/84545/29093/51253/51069/10573/6146/6156/6125/65080/51121/65005/122704/6142/6155/6136/6137/6203/6166/90480/6158/128308/2197/6210/51264/6193/6169/7311/6218/11224/6139/6154/51258/4736/6171/219927/6134/57129/6230/116541/6223/6208/6122/6181/6217/6235/6160/6135/9349/64963/63875/6164/6170/6188/6227/6132/6222/6233/6147/51116/79590/6205/25873/6183/54998/6138/6161/6165/6176/6124/6150/64975/64979/6204/6209/51373/6202/6187/6207/64969/55651/23521/6128/64951/3921/55272/116540/6201/6175/9045/6157/6167/6143/6182/6168/6141/6194/6159/64928/64976/6191/64965/55052/6229/6152/6130/54948/64949/64960/51642/65993/51650/118487/51021"
"GO:0003735","MF","GO:0003735","structural constituent of ribosome",158,-0.81970940242163,-4.63054601143645,1e-10,2.24491525423729e-09,1.2197442759441e-09,2036,"tags=85%, list=12%, signal=75%","10884/11222/6173/65003/26589/51065/51023/6206/28977/51073/7818/64981/55168/65008/29088/51187/28973/6192/29074/6224/60488/64432/6189/28998/6228/51081/54460/84545/29093/51253/51069/645683/10573/6146/6156/6125/51121/65005/122704/6142/6155/6136/6137/6203/6166/6158/128308/2197/6210/51264/6193/6169/7311/6218/11224/6139/6154/51258/4736/6171/219927/6134/57129/6230/116541/6223/6208/6122/6181/6217/200916/6235/6160/6135/9349/64963/63875/6164/6170/6188/6227/6132/6222/6233/6147/51116/79590/6205/25873/6183/6138/6161/6165/6176/6124/6150/64975/64979/6204/6209/51373/6202/6187/6207/64969/23521/6128/64951/3921/55272/6201/6175/9045/6157/6167/6143/6182/6168/6141/6194/6159/64928/6191/64965/55052/6229/4701/6152/6130/54948/64960/65993/51650/51021"
"GO:0005840","CC","GO:0005840","ribosome",220,-0.760944985389206,-4.33857138703183,1e-10,2.24491525423729e-09,1.2197442759441e-09,2794,"tags=77%, list=17%, signal=65%","51263/64983/90850/6238/6144/54534/54148/51649/9921/6129/1915/83939/4504/10884/11222/6173/65003/4869/26589/51065/51023/6206/28977/51073/8667/7818/64981/84769/689/55168/26156/65008/29088/328/27230/51187/28973/6192/29074/6224/28957/51538/84164/64320/60488/64432/6189/28998/84311/6228/51081/54460/64978/84545/29093/51253/51069/645683/10573/6146/6156/6125/65080/51121/65005/122704/6142/6155/6136/6137/6203/6166/90480/6158/128308/2197/6210/51264/6193/6169/7311/6218/11224/6139/6154/51258/4736/6171/219927/6134/57129/6230/116541/6223/6208/6122/6181/6217/200916/6235/6160/6135/9349/64963/63875/6164/6170/6188/6227/6132/6222/6233/6147/51116/79590/6205/25873/6183/54998/6138/6161/6165/6176/6124/6150/64975/64979/6204/6209/51373/6202/6187/6207/64969/55651/23521/6128/64951/3921/55272/116540/6201/6175/9045/6157/6167/92170/6143/6182/6168/6141/6194/6159/64928/64976/6191/64965/55052/6229/4701/6152/6130/54948/64949/64960/51642/65993/51650/118487/51021"
"GO:0015934","CC","GO:0015934","large ribosomal subunit",110,-0.808568943014363,-4.22723534631268,1e-10,2.24491525423729e-09,1.2197442759441e-09,2636,"tags=89%, list=16%, signal=75%","51263/64983/6144/54534/54148/6129/10884/11222/6173/65003/4869/26589/28977/51073/64981/84769/55168/26156/65008/29088/29074/51538/28998/84311/64978/84545/29093/51253/51069/10573/6146/6156/6125/65080/51121/65005/122704/6142/6155/6136/6137/6166/90480/6158/128308/51264/6169/7311/11224/6139/6154/51258/4736/6171/219927/6134/57129/116541/6122/6181/6160/6135/9349/63875/6164/6170/6132/6147/79590/25873/6138/6161/6165/6176/6124/6150/64975/64979/55651/23521/6128/116540/6175/9045/6157/6167/6143/6182/6168/6141/6159/64928/64976/55052/6152/6130/54948/51642"
"GO:0032543","BP","GO:0032543","mitochondrial translation",119,-0.772639864445887,-4.14866592562021,1e-10,2.24491525423729e-09,1.2197442759441e-09,2803,"tags=75%, list=17%, signal=63%","26024/51263/64983/54534/51067/10352/54148/51649/55005/79072/124454/4528/10884/11222/6472/65003/26589/84881/51023/28977/51073/7818/64981/84769/55168/65008/29088/708/28973/29074/28957/51654/60488/64432/285367/28998/84311/51204/51081/54460/64978/84545/29093/51253/51069/10573/65080/65005/122704/54938/90480/128308/51264/51258/219927/57129/116541/64963/63875/10102/51116/79590/6183/219402/54998/6150/64975/64979/51373/64969/64951/116540/7284/92170/6182/26995/64928/64976/64965/55052/4701/54948/64949/64960/51642/65993/51650/118487/51021"
"GO:0022626","CC","GO:0022626","cytosolic ribosome",108,-0.805592153419279,-4.11230066013327,1e-10,2.24491525423729e-09,1.2197442759441e-09,1293,"tags=72%, list=8%, signal=67%","6192/6224/51538/84164/64320/6189/6228/6146/6156/6125/51121/6142/6155/6136/6137/6203/6166/6158/2197/6210/6193/6169/7311/6218/11224/6139/6154/4736/6171/6134/6230/6223/6208/6122/6181/6217/6235/6160/6135/9349/6164/6170/6188/6227/6132/6222/6233/6147/6205/25873/6138/6161/6165/6176/6124/6204/6209/6202/6187/6207/55651/23521/6128/3921/6201/6175/9045/6157/6167/6143/6168/6141/6194/6159/6191/6229/6152/6130"
"GO:0098800","CC","GO:0098800","inner mitochondrial membrane protein complex",104,-0.773263157322718,-3.98292149458614,1e-10,2.24491525423729e-09,1.2197442759441e-09,1618,"tags=71%, list=10%, signal=65%","84303/51103/374291/10469/4723/4700/10651/1327/4698/1345/80273/7386/11331/4714/6390/1537/10975/4708/4731/4704/29928/440567/4710/140823/4711/55967/4728/131118/126328/51079/9167/7381/26519/92609/4725/1350/4696/4709/4726/617/4580/4718/1347/4715/4712/7384/79135/26520/29796/27089/4713/4717/1351/4722/54539/1349/55572/7388/1340/4706/293/1337/1329/196294/10245/4695/4694/4707/4705/4702/4701/4716/9377/4729"
"GO:0098803","CC","GO:0098803","respiratory chain complex",75,-0.819059922066576,-3.96060139739635,1e-10,2.24491525423729e-09,1.2197442759441e-09,1519,"tags=77%, list=9%, signal=71%","51103/374291/4723/4700/1327/4698/1345/7386/4714/6390/1537/10975/4708/4731/4704/440567/4710/4711/55967/4728/126328/51079/9167/7381/4725/1350/4696/4709/4726/617/4718/1347/4715/4712/7384/29796/27089/4713/4717/1351/4722/54539/1349/55572/7388/1340/4706/1337/1329/4695/4694/4707/4705/4702/4701/4716/9377/4729"
"GO:0140053","BP","GO:0140053","mitochondrial gene expression",144,-0.733707500120025,-3.95616855100043,1e-10,2.24491525423729e-09,1.2197442759441e-09,2803,"tags=69%, list=17%, signal=58%","26024/51263/64983/5442/54534/51067/10352/54148/57570/51649/55005/79072/124454/4528/10884/11222/6472/65003/26589/84881/51023/400916/28977/51073/7818/64981/84769/55168/65008/29088/708/28973/80324/29074/28957/51654/60488/64432/54802/285367/28998/84311/51204/51081/6832/54460/64978/84545/29093/51253/51069/10573/65080/65005/122704/9238/54938/90480/128308/51264/51258/219927/57129/116541/64963/63875/10922/10102/51116/79590/6183/219402/54998/6150/64975/64979/51373/64969/64951/116540/7284/92170/6182/26995/64928/64976/64965/55052/3028/4701/84275/54948/64949/64960/51642/65993/51650/118487/51021"
"GO:0000313","CC","GO:0000313","organellar ribosome",85,-0.797731150972001,-3.94129333587042,1e-10,2.24491525423729e-09,1.2197442759441e-09,2794,"tags=84%, list=17%, signal=70%","51263/64983/54534/54148/51649/10884/11222/65003/26589/51023/28977/51073/7818/64981/84769/55168/65008/29088/28973/29074/28957/60488/64432/28998/84311/51081/54460/64978/84545/29093/51253/51069/10573/65080/65005/122704/90480/128308/51264/51258/219927/57129/116541/64963/63875/51116/79590/6183/54998/6150/64975/64979/51373/64969/64951/116540/92170/6182/64928/64976/64965/55052/4701/54948/64949/64960/51642/65993/51650/118487/51021"
