"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0006888","BP","GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport",121,-0.507126257979574,-2.66365222449878,1e-10,5.16493506493507e-09,3.75051264524949e-09,3511,"tags=46%, list=21%, signal=37%","378/11018/9183/286451/9321/10945/9276/6811/8729/10802/222068/84272/11014/81876/81555/51128/65258/1314/56681/51290/55973/1315/2619/10282/5537/80055/375056/23256/79748/59349/57222/9554/10525/9117/57120/81562/10959/11196/6683/51399/51026/3998/113419/8452/50999/64693/9632/51014/10483/9527/9218/51124/372/10972/3638/83548"
"GO:0005201","MF","GO:0005201","extracellular matrix structural constituent",155,0.737235505724462,2.58472888344007,1e-10,5.16493506493507e-09,3.75051264524949e-09,1892,"tags=52%, list=11%, signal=47%","1277/633/1281/6678/1278/1290/2006/1289/115908/27286/7058/3490/4256/1306/7450/165/7045/4148/1311/50509/5118/54829/10516/79812/80781/1282/1295/1284/4240/10631/1300/1462/1307/4060/920/2200/4237/4053/3908/2335/4239/1893/1301/3910/7148/7059/10216/127435/1293/176/2199/7373/1291/1296/83872/1292/3912/25890/4052/11117/5549/8425/22795/3339/1634/4811/64129/5553/1286/7057/22915/10875/25878/4147/81578/255631/1116/1302/8292/30008/2202"
"GO:0030199","BP","GO:0030199","collagen fibril organization",59,0.731842663811349,2.35699208128734,1e-10,5.16493506493507e-09,3.75051264524949e-09,1982,"tags=54%, list=12%, signal=48%","1277/1281/1278/9509/1290/1289/140766/165/84695/4016/4320/11173/1311/50509/80781/81792/2303/4017/4060/6423/871/1301/7148/7373/11117/649/2131/26585/8985/1302/30008/60681"
"GO:0005581","CC","GO:0005581","collagen trimer",82,0.701047030774896,2.33790605866727,1e-10,5.16493506493507e-09,3.75051264524949e-09,1844,"tags=49%, list=11%, signal=44%","1277/1281/1278/1290/1289/115908/1306/4481/50509/80781/714/1282/1295/1284/1300/712/713/1307/4060/114898/1301/1293/7373/114904/1291/1296/1292/11117/114897/8685/1286/114905/78989/2219/81578/255631/114899/1302/8292/8547"
"GO:0062023","CC","GO:0062023","collagen-containing extracellular matrix",409,0.633901949096711,2.32391099573372,1e-10,5.16493506493507e-09,3.75051264524949e-09,2746,"tags=46%, list=17%, signal=39%","1277/633/1281/6678/1278/9509/1290/7040/2006/348/1289/115908/27286/7058/3490/1075/4256/1306/7450/165/2/84695/7045/161198/4016/4148/1311/50509/7044/5118/54829/5155/10516/79812/80781/714/1282/10319/1295/1284/4240/10631/1300/1462/712/713/145864/4313/4017/3965/1307/4060/6423/871/2200/8510/4237/4053/8482/284297/23213/3908/2335/4239/1842/81794/1893/5270/1301/3910/5054/7148/7059/10216/151887/7077/127435/1293/1522/176/2199/7373/710/1291/1012/1520/1296/83872/2162/5199/1292/3912/133584/285/25890/4052/5654/9672/11117/2719/5549/8425/7076/22795/6275/3339/4318/1634/7052/4811/3956/54507/6693/4054/23452/8685/51162/3698/8728/64129/3700/5553/51378/1286/7057/22915/10875/158326/2219/5272/3697/25878/5657/27299/4147/8404/7078/3383/9507/81578/26585/255631/7177/4653/7482/131578/8985/1302/8292/64499/8547/30008/5919/2202/43/63923/1359/5176/7869/1404/7060/7472/2192/5359/6387/5265/10085/1992/6277/25975/869/221914/7123/6422/1285/309/83854/10082/4192/8483/3915/7448/4317/1509/11095/4015/1299"
"GO:0005518","MF","GO:0005518","collagen binding",62,0.709773409418179,2.29627839066815,1e-10,5.16493506493507e-09,3.75051264524949e-09,2733,"tags=63%, list=16%, signal=53%","6678/22801/7450/165/1513/7045/1311/50509/5118/5155/4060/871/2335/1842/7148/127435/7373/9902/1291/1520/1292/8515/22795/3339/4318/4811/114897/84168/7057/8404/131578/26577/43/3672/4092/4321/7448/3688/4015"
"GO:0006911","BP","GO:0006911","phagocytosis, engulfment",48,0.730681160401314,2.27053898536125,1e-10,5.16493506493507e-09,3.75051264524949e-09,1311,"tags=40%, list=8%, signal=37%","54209/4481/2209/9844/3689/2213/199/5336/3684/11314/11031/51411/3071/2934/9938/718/4627/8685/7057"
"GO:0140375","MF","GO:0140375","immune receptor activity",134,0.650222554605664,2.26672465153658,1e-10,5.16493506493507e-09,3.75051264524949e-09,1911,"tags=49%, list=12%, signal=43%","1240/3563/719/11006/2207/10288/2209/9034/728/2359/2213/11027/1438/920/1441/9244/3559/2214/10148/3587/1439/10859/972/3601/3113/1230/7852/3594/353514/3123/3122/2826/2357/11024/3117/8807/50615/23547/3119/3581/3597/3595/3111/2859/9173/1378/3112/8809/643/1234/2833/3593/2322/131450/1237/1236/1233/64109/3561/2208/3455/729230/2840/3598/3118"
"GO:0098636","CC","GO:0098636","protein complex involved in cell adhesion",57,0.711211527305322,2.26420782399863,1e-10,5.16493506493507e-09,3.75051264524949e-09,3076,"tags=65%, list=19%, signal=53%","22801/3687/9358/79812/3689/3684/3908/7148/58494/5329/941/4067/3676/3912/8515/11117/4811/3681/3956/10077/1493/3683/5328/22915/940/3695/63923/3674/3678/3672/3957/3679/3915/7448/3688/3371/3693"
"GO:0050866","BP","GO:0050866","negative regulation of cell activation",203,0.631938203750072,2.25809136479201,1e-10,5.16493506493507e-09,3.75051264524949e-09,2617,"tags=48%, list=16%, signal=41%","348/54209/2615/7305/6688/11006/84695/84868/11326/7805/5155/10288/10019/3624/4846/695/3142/2213/942/3965/146722/945/3559/2268/10457/2335/64092/3718/11314/10859/140685/5270/259307/135/972/7940/79626/80380/941/114757/3071/8832/23208/7056/4067/3123/5156/558/11117/56253/374403/4332/8995/3586/10077/1493/6693/1268/30009/114897/201633/26191/8530/864/50943/1378/10875/116449/54900/5788/23495/4345/652/3635/26279/1840/729230/3598/23513/8651/10385/10062/56940/1269/5585/9572/6375/3620/6376/6422/4092/3134/6664/84959/4192/339390/1051"
"GO:0071674","BP","GO:0071674","mononuclear cell migration",189,0.626997367304721,2.23147207161187,1e-10,5.16493506493507e-09,3.75051264524949e-09,3488,"tags=56%, list=21%, signal=44%","1240/5175/719/6688/5155/728/124976/6793/199/3965/1436/1901/5800/146433/1893/5054/56833/58494/1230/7852/2621/6361/6356/1435/6357/6348/4478/11151/4067/3676/2321/6367/6360/56253/7535/8995/51192/6363/140885/9023/2131/6693/30009/2529/1880/3683/6358/6504/326/6351/6362/7057/10344/6355/1234/5293/4345/414062/6349/3383/6366/131450/26585/5294/6359/1236/58191/2059/8740/8600/5919/729230/3695/7226/101/11035/6347/5595/347/6387/6368/9466/6375/6354/6376/11240/6352/22914/6369/387/4192/3569/29108/7124/1235/6846/27/3592/8772/7474/5339/10563/9353/3627/6223"
"GO:0072676","BP","GO:0072676","lymphocyte migration",113,0.649990265565098,2.23108678520856,1e-10,5.16493506493507e-09,3.75051264524949e-09,3481,"tags=63%, list=21%, signal=50%","124976/6793/199/1901/1893/58494/2621/6361/6356/6357/6348/4478/11151/3676/6367/6360/56253/7535/51192/6363/9023/2131/6693/30009/2529/1880/3683/6358/326/6351/6362/10344/6355/5293/4345/414062/6349/3383/6366/131450/5294/6359/1236/58191/8740/729230/3695/101/11035/6347/347/6387/6368/9466/6375/6354/6376/11240/6352/22914/6369/387/29108/1235/6846/27/8772/7474/5339/10563/3627"
"GO:0032963","BP","GO:0032963","collagen metabolic process",84,0.665962416705226,2.2247186865308,1e-10,5.16493506493507e-09,3.75051264524949e-09,3508,"tags=57%, list=21%, signal=45%","1277/2022/1278/9509/7040/57333/1289/2191/140766/1513/4320/7431/5118/3624/2149/4313/871/8510/4239/7148/114757/9902/1520/4261/11117/4323/4318/1581/4314/4326/5657/652/8985/7349/4325/5653/9697/4321/3569/4317/3688/9313/4319/5027/861/1508/2147/57332"
"GO:0042102","BP","GO:0042102","positive regulation of T cell proliferation",100,0.653408798958188,2.21850650354911,1e-10,5.16493506493507e-09,3.75051264524949e-09,3309,"tags=59%, list=20%, signal=48%","84868/10288/199/942/3965/3559/10148/64926/7412/3115/3113/10673/80380/941/54440/3071/912/84433/3594/11151/7048/7535/30835/3481/6363/283234/959/6693/923/6504/3606/26191/50943/3600/5788/3593/940/23308/916/970/3133/115650/6850/729230/4860/6375/6352/3553/3569/5588/8440/51561/29108/8744/126259/3952/975/8772/149233"
"GO:0002250","BP","GO:0002250","adaptive immune response",433,0.5992012119216,2.20200768893386,1e-10,5.16493506493507e-09,3.75051264524949e-09,3537,"tags=54%, list=21%, signal=43%","7040/54209/1075/11006/2207/84695/84868/3903/23180/10288/2209/714/7133/2534/695/3142/712/713/89857/2213/10990/942/920/7454/10068/64581/2214/3426/10148/100/79168/201294/64092/3718/715/1439/10859/11025/259307/64170/716/3115/50856/972/3113/3108/8631/113/10673/80380/941/79987/54440/710/3071/912/3594/8832/4067/1520/3123/974/54210/4277/114548/202309/89790/3122/2048/27040/639/7535/8995/3586/30835/4208/6363/51311/1493/7030/3004/959/6693/30009/718/923/2529/4063/10865/939/1880/4049/11024/3117/50615/3702/6504/326/3119/117157/3581/80758/919/6775/6494/3606/910/57823/114836/3111/9173/8320/5133/50943/1378/3112/5551/8809/50852/10462/84174/91543/51176/54900/5293/5788/3127/23495/27240/3383/10459/23075/84807/3593/5971/973/84876/3635/940/7186/814/5294/909/9156/608/23308/916/10538/970/720/924/3662/915/3133/10666/911/115650/4068/2208/80329/6850/729230/196/3598/3118/11035/338339/56940/5585/9466/6375/917/151888/9025/1379/11026/4092/23529/22914/3134/10312/5321/3553/83417/81622/90865/3575/3569/339390/5588/722/3120/4791/3566/51561/730/29108/57192/913/660/6556/170482/930/3560/7124/54923/735/1235/6891/3764/3902/3263/5027/3592/731/3716/725/1380/83953/100141515/975/8772/10384/149233/387357/3665/733/10563/732/1191/11118/5678/7099"
"GO:0002695","BP","GO:0002695","negative regulation of leukocyte activation",183,0.619686353321848,2.20143457094927,1e-10,5.16493506493507e-09,3.75051264524949e-09,2617,"tags=46%, list=16%, signal=40%","2615/7305/6688/11006/84695/84868/11326/7805/10288/3624/695/3142/2213/942/3965/146722/945/3559/2268/10457/2335/64092/3718/11314/10859/140685/259307/135/972/7940/79626/80380/941/3071/8832/23208/4067/3123/558/56253/374403/4332/8995/3586/10077/1493/6693/1268/30009/201633/26191/8530/864/50943/1378/10875/116449/54900/5788/23495/4345/652/3635/26279/1840/729230/3598/23513/8651/10385/10062/56940/1269/5585/9572/6375/3620/6376/6422/4092/3134/6664/4192/339390/1051"
"GO:0005604","CC","GO:0005604","basement membrane",87,0.651570137336866,2.18370472447466,1e-10,5.16493506493507e-09,3.75051264524949e-09,2661,"tags=46%, list=16%, signal=39%","6678/1289/7058/1306/7045/4016/79812/80781/1282/10319/1295/1284/4017/2200/3908/2335/3910/151887/1296/83872/3912/133584/7076/22795/3339/4811/6693/1286/158326/7078/8292/30008/43/5176/7060/2192/25975/1285/3915/7448"
