"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa03010","hsa03010","Ribosome",165,0.832067262503226,4.17830000701678,1e-10,2.14285330450656e-09,1.17937490142767e-09,1768,"tags=79%, list=11%, signal=71%","64960/65993/54948/51121/64928/6182/6156/51650/6183/6168/6152/6167/6143/6209/64951/6204/6157/11224/64949/51373/6227/79590/6217/6158/6176/9045/7311/6150/6181/64975/6201/6128/51642/6142/6235/6130/57129/6223/6165/6132/51116/29093/6187/6161/6169/3921/6175/25873/6155/6207/6188/6205/6218/64969/6160/6159/6124/6229/55052/6222/6202/51021/28957/51253/6147/2197/6208/23521/116540/6210/6194/6141/9349/64963/200916/6164/6136/6203/6230/6135/29088/6191/54460/64432/128308/219927/6233/6193/51069/64965/65005/10573/6224/28998/64979/6170/63875/64978/6134/51258/6138/51073/51264/51081/6137/6171/6166/64976/6228/65003/122704/116541/6154/6122/64981/6129/6139/6192/6206/4736/7818/6125/84545/6146/6189/65080/51023/65008/84311/6173"
"hsa00190","hsa00190","Oxidative phosphorylation",105,0.725782762816232,3.40264863739769,1e-10,2.14285330450656e-09,1.17937490142767e-09,2675,"tags=67%, list=16%, signal=56%","4716/9377/7388/4702/4705/4726/4694/440567/1349/4706/1345/7381/4715/4707/4695/1337/10063/1329/4729/1340/54539/4713/1537/27089/9296/1351/7384/4708/10975/4723/4701/4722/51079/4712/4728/1350/126328/4696/4709/4731/533/4718/4710/4725/55967/4717/29796/527/4711/374291/4700/1347/5464/4697/4714/155066/4704/9167/6390/7386/1327/90423/54205/27068/56901/4720/8992/9550/529/6389"
"hsa03050","hsa03050","Proteasome",45,0.791155306054482,3.13993706384511,1e-10,2.14285330450656e-09,1.17937490142767e-09,2197,"tags=67%, list=13%, signal=58%","5695/5689/5715/5691/5719/5686/11047/5710/5688/5684/5692/5693/5687/5721/5700/5682/5702/5705/9861/5683/51371/5694/5685/5704/5709/5690/5706/5701/5720/9491"
"hsa05012","hsa05012","Parkinson disease",234,0.558229052835779,2.96356075396012,1e-10,2.14285330450656e-09,1.17937490142767e-09,1926,"tags=44%, list=12%, signal=39%","4716/9377/27429/7388/7295/5695/118424/4702/4705/4726/4694/440567/293/1349/4706/7311/1345/7381/4715/4707/4695/1337/5689/1329/4729/5715/5691/5719/581/1340/54539/4713/5686/1537/11047/27089/5710/1351/5688/5684/5692/7384/4708/10975/5693/4723/4701/5687/6233/468/4722/51079/4712/4728/29985/11315/1350/126328/4696/4709/4731/4718/4710/4725/6647/55967/4717/29796/10131/5700/5682/4711/5702/55630/5705/374291/25828/4700/1347/4697/9861/4714/5683/10381/5694/5685/10105/4704/1649/9167/9817/6390/5704/5709/84790/5690/10376/5706/7386/1327/7417/7314/5701"
"hsa05020","hsa05020","Prion disease",241,0.529205019873791,2.82411786011659,1e-10,2.14285330450656e-09,1.17937490142767e-09,2675,"tags=45%, list=16%, signal=38%","4716/9377/7388/5695/4702/4705/4726/4694/440567/293/1349/4706/1345/7381/4715/4707/4695/1337/5689/1329/4729/5715/5691/5719/581/1340/54539/4713/5686/1537/11047/572/27089/5710/1351/5688/5684/5692/7384/1460/4708/10975/5693/4723/4701/5687/468/4722/51079/4712/4728/1350/126328/4696/4709/4731/4718/4710/4725/6647/55967/4717/29796/5700/5682/4711/5702/5705/374291/6300/4700/1347/4697/9861/4714/5683/10381/5694/5685/10105/4704/1649/9167/6390/5704/5709/84790/5690/10376/5706/7386/1327/7417/5701/54205/7280/733/56901/292/4720/148327/5296/5879/203068/5714/7416/5600/6389"
"hsa05016","hsa05016","Huntington disease",273,0.521992271825281,2.82011076998569,1e-10,2.14285330450656e-09,1.17937490142767e-09,2692,"tags=44%, list=16%, signal=38%","4716/9377/5437/7388/5695/4702/5435/4705/4726/4694/440567/293/1349/4706/1345/7381/4715/4707/4695/1337/5689/1329/4729/5715/5691/5438/5719/581/1340/54539/4713/5686/1537/11047/1211/5439/27089/5710/1351/5688/5684/5692/7384/4708/10975/5693/4723/5441/4701/5687/2876/7186/4722/51079/4712/27113/4728/1350/126328/4696/4709/4731/4718/4710/4725/6647/55967/4717/1175/29796/5700/5682/4711/5702/5705/374291/5434/10540/5436/10126/4700/1347/4294/4697/9861/4714/5683/1212/10381/5694/5685/26100/10105/4704/9167/6390/5704/5709/84790/5690/10376/5706/7386/1327/7417/5701/54205/7280/11258/56901/292/127602/5331/4720/148327/203068/5714/5440/7416/6389/10120"
"hsa05171","hsa05171","Coronavirus disease - COVID-19",215,0.525241258489961,2.750460472845,1e-10,2.14285330450656e-09,1.17937490142767e-09,1778,"tags=38%, list=11%, signal=35%","51121/6156/6168/6152/6167/6143/6209/6204/6157/11224/6227/6217/6158/6176/9045/7311/6181/6201/6128/6142/6235/6130/6223/6165/6132/6187/6161/6169/3921/6175/25873/6155/6207/6188/6205/6218/6160/6159/6124/6229/6222/6202/6147/2197/6208/23521/6210/6194/6141/9349/200916/6164/6136/6203/6230/6135/6191/6233/6193/6224/6170/4793/6134/6138/6137/6171/6166/6228/6154/6122/6129/6139/6300/6192/6206/4736/6125/3654/6146/6189/6173/3661"
"hsa04932","hsa04932","Non-alcoholic fatty liver disease",149,0.539283178375747,2.65182910019716,1e-10,2.14285330450656e-09,1.17937490142767e-09,2675,"tags=49%, list=16%, signal=41%","4716/9377/7388/4702/4705/4726/4694/440567/1349/4706/1345/7381/4715/4707/4695/1337/1329/4729/581/1340/54539/4713/1537/27089/1351/7384/4708/10975/4723/4701/7186/468/4722/51079/4712/4728/1350/126328/4696/4709/4731/4296/4718/4710/4725/55967/4717/29796/4711/374291/6300/4700/1347/4697/4714/4704/1649/9167/6390/637/7386/1327/5571/54205/56901/4720/5313/5296/5879/6945/1050/5600/6389"
"hsa05014","hsa05014","Amyotrophic lateral sclerosis",323,0.4607383323891,2.53486353477396,1e-10,2.14285330450656e-09,1.17937490142767e-09,2730,"tags=40%, list=16%, signal=34%","4716/9377/7388/5695/4702/10452/4705/4726/4694/440567/1349/4706/1345/7381/4715/4707/4695/1337/5689/1329/4729/5715/5691/5719/581/1340/54539/4713/5686/1537/11047/572/27089/5710/1351/5688/5684/5692/7384/4708/10975/5693/4723/4701/5687/2876/7186/468/4722/51079/4712/4728/1350/126328/4696/4709/4731/6396/4718/9973/4710/4725/6647/55967/4717/3178/29796/5700/5682/4711/5702/5705/374291/6300/10540/10126/4700/375189/1347/79023/4697/9861/4714/5683/10381/5694/5685/26100/79902/4704/1649/9167/6390/637/71/5216/5704/5709/2521/84790/5690/10376/8480/5706/7386/29107/1327/400916/5701/54205/7280/11258/56901/3181/127602/4720/10280/5879/203068/144983/5714/7416/5600/598/6389/10120/1616/23435"
"hsa03040","hsa03040","Spliceosome",123,0.514900137283972,2.48636529096297,1e-10,2.14285330450656e-09,1.17937490142767e-09,3350,"tags=50%, list=20%, signal=40%","6636/6631/25804/6633/6635/6628/10465/51690/6627/10084/27258/8896/6626/6637/6100/51503/10907/6634/51634/151903/26121/79228/80145/23658/57819/6629/6632/9092/22827/27339/3178/7307/10450/6625/83443/56949/4116/9984/84844/8175/3183/24148/2521/55110/11338/10992/25949/56259/144983/27238/199746/22916/8563/84991/84321/51645/25766/27316/10713/4670/9129"
