"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa03010","hsa03010","Ribosome",165,-0.819905055073296,-4.50439895821147,1e-10,1.22857142857143e-09,5.22556390977444e-10,2036,"tags=88%, list=12%, signal=78%","6144/54534/54148/51649/6129/10884/11222/6173/65003/26589/51065/51023/6206/28977/51073/7818/64981/55168/65008/29088/51187/28973/6192/29074/6224/28957/60488/64432/6189/28998/84311/6228/51081/54460/64978/84545/29093/51253/51069/10573/6146/6156/6125/65080/51121/65005/122704/6142/6155/6136/6137/6203/6166/6158/128308/2197/6210/51264/6193/6169/7311/6218/11224/6139/6154/51258/4736/6171/219927/92259/6134/57129/6230/116541/6223/6208/6122/6181/6217/200916/6235/6160/6135/9349/64963/63875/6164/6170/6188/6227/6132/6222/6233/6147/51116/79590/6205/25873/6183/6138/6161/6165/6176/6124/6150/64975/64979/6204/6209/51373/6202/6187/6207/64969/23521/6128/64951/3921/116540/6201/6175/9045/6157/6167/6143/6182/6168/6141/6194/6159/64928/64976/6191/64965/55052/6229/6152/6130/54948/64949/64960/51642/65993/51650/51021"
"hsa00190","hsa00190","Oxidative phosphorylation",105,-0.736326717014762,-3.93688441169329,1e-10,1.22857142857143e-09,5.22556390977444e-10,2568,"tags=69%, list=15%, signal=58%","4720/54205/4724/51382/8992/1355/4697/5464/90423/527/374291/4723/4700/1327/4698/1345/7386/4714/6390/155066/1537/10975/4708/4731/4704/9550/440567/4710/27068/537/4711/55967/4728/126328/51079/9167/9296/7381/533/4725/1350/4696/4709/4726/4718/1347/4715/4712/7384/10063/29796/27089/4713/4717/1351/4722/54539/1349/7388/1340/4706/1337/1329/4695/4694/4707/4705/4702/4701/4716/9377/4729"
"hsa03050","hsa03050","Proteasome",45,-0.741973917117646,-3.358957406335,1e-10,1.22857142857143e-09,5.22556390977444e-10,3086,"tags=76%, list=19%, signal=62%","5720/5713/10213/122706/5701/5690/5709/9491/5702/5721/5704/5688/5682/9861/5706/5714/5687/5683/5686/51371/5700/5710/11047/5705/5694/5692/5684/5715/5685/5691/5693/5695/5689/5719"
"hsa03040","hsa03040","Spliceosome",123,-0.515010604372682,-2.79578317027924,1e-10,1.22857142857143e-09,5.22556390977444e-10,2004,"tags=35%, list=12%, signal=31%","4116/9092/7307/57819/84844/6629/51634/6625/51340/79228/55110/3178/26121/9984/22827/24148/56949/80145/151903/83443/6626/3183/51690/10450/6634/6627/6637/10084/6636/6633/8896/6100/51503/23658/6632/6628/25804/6635/27258/6631/10907/10465/27339"
"hsa04932","hsa04932","Non-alcoholic fatty liver disease",149,-0.476394375794152,-2.56786251809066,1e-10,1.22857142857143e-09,5.22556390977444e-10,1505,"tags=40%, list=9%, signal=36%","374291/4723/1050/4700/581/1327/4698/1345/7386/6720/4714/6390/1537/10975/4708/4731/4704/440567/4710/4711/55967/4728/126328/51079/9167/7381/4725/1350/4696/4709/4726/4718/1347/4715/4712/7384/468/29796/27089/4713/4717/1351/4722/54539/1349/7388/1340/4706/1337/1329/4695/4694/4707/4705/4702/4701/4716/9377/4729"
"hsa04518","hsa04518","Integrin signaling",151,0.662593583952315,2.50939523128683,1e-10,1.22857142857143e-09,5.22556390977444e-10,2756,"tags=54%, list=17%, signal=46%","5159/2200/9459/1282/1278/3908/1284/3910/1293/2324/1277/3680/7450/3791/7040/3690/3672/3676/7094/5156/22801/2335/1286/3684/2321/8516/7412/7414/10979/1291/7058/5155/3082/5293/3912/80310/3689/7148/3688/3371/1292/83706/7057/4233/5290/2316/87/894/81/56034/55742/5880/3683/3687/3679/718/3678/158326/1956/5295/1499/1285/64098/3673/10319/3384/1288/341640/5228/3696/7424/3915/3691/3987/1101/3675/3685/3695/80144/1287/3694/8515"
"hsa01240","hsa01240","Biosynthesis of cofactors",139,-0.446089547188642,-2.46782117945407,1e-10,1.22857142857143e-09,5.22556390977444e-10,3094,"tags=42%, list=19%, signal=34%","51109/55312/10201/9249/56474/8566/7363/124454/493911/79001/7372/6472/1355/51727/7389/51601/55163/29925/51004/112724/5498/2937/9054/5372/2356/55191/1723/2990/79717/387787/57026/51805/654364/204/80308/80347/441024/158/125061/7390/6697/29926/326625/4831/84274/60490/10229/5373/4832/587/4833/54995/5805/4830/4351/51117/3145/10327"
"hsa04714","hsa04714","Thermogenesis",191,-0.433103798983131,-2.4256738660164,1e-10,1.22857142857143e-09,5.22556390977444e-10,1519,"tags=38%, list=9%, signal=35%","51103/374291/4723/4700/123096/51548/3265/1327/4698/1345/7386/4714/6390/1537/10975/4708/4731/6598/4704/6195/90993/23028/440567/4710/6199/6603/4711/55967/84335/4728/126328/51079/9167/7381/4725/1350/4696/4709/4726/25915/4718/1347/4715/4712/7384/91942/10063/29796/27089/4713/4717/1351/4722/54539/1349/7388/1340/4706/1337/1329/148327/4695/4694/6194/4707/4705/4702/51241/4701/64223/4716/9377/4729"
"hsa04512","hsa04512","ECM-receptor interaction",87,0.656241609445419,2.36658721025933,1e-10,1.22857142857143e-09,5.22556390977444e-10,2756,"tags=53%, list=17%, signal=44%","1282/1278/3908/1284/3910/1293/1277/3680/7450/3339/3690/3672/3676/22801/2335/1286/8516/9900/1291/7058/3912/7148/3688/3371/1292/7057/3679/2814/3678/158326/1285/3673/10319/1288/341640/3696/3915/3691/1101/3675/3685/3695/80144/1287/3694/8515"
"hsa05208","hsa05208","Chemical carcinogenesis - reactive oxygen species",196,-0.420140503481592,-2.35684528847798,1e-10,1.22857142857143e-09,5.22556390977444e-10,1529,"tags=34%, list=9%, signal=31%","7417/374291/4723/4700/9817/3265/1327/4698/1345/7386/6647/4714/52/6390/1537/10975/4708/4731/4704/10105/5605/440567/4710/572/4711/55967/4728/126328/51079/9167/7381/4725/1350/4696/4709/4726/4718/1347/4715/4712/7384/29796/27089/4713/4717/1351/4722/54539/1349/7388/1340/4706/293/1337/1329/4695/4694/4707/4705/4702/4701/4716/9377/4729/10327/4258"
