"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04061","hsa04061","Viral protein interaction with cytokine and cytokine receptor",95,0.694243028087191,2.3711800895968,1e-10,3.49e-09,2.25263157894737e-09,2924,"tags=60%, list=18%, signal=50%","7133/3559/1436/3587/146433/1230/7852/6361/9547/6356/1435/6357/6348/6367/6360/2826/3586/6363/4049/6358/8807/6351/3606/6362/10344/8809/643/6355/1234/414062/6349/2833/6366/1237/9560/6359/1236/1233/8740/3561/729230/6347/6387/6368/6375/6354/6376/6352/11009/6369/3569/4283/3560/7132/7124/1235/6846"
"hsa05150","hsa05150","Staphylococcus aureus infection",87,0.685533932997584,2.31354273528248,1e-10,3.49e-09,2.25263157894737e-09,1933,"tags=44%, list=12%, signal=39%","2212/719/2209/714/728/3689/712/713/2359/2213/9103/3684/2214/3426/6404/715/6403/716/3115/3113/3108/3123/3122/2357/3075/3586/718/3683/3117/3119/3111/3112/3127/3383/720/3885/3118/5724"
"hsa04640","hsa04640","Hematopoietic cell lineage",94,0.655323156459568,2.23940856020664,1e-10,3.49e-09,2.25263157894737e-09,2883,"tags=61%, list=17%, signal=50%","3563/947/2209/951/1438/920/945/1441/3559/3684/929/1436/3589/3115/3113/3108/912/933/1435/3676/3123/3122/2323/921/3117/2814/3119/3581/910/3111/1378/3112/3127/2322/909/916/924/915/911/2208/914/3118/3674/3678/3672/917/1379/2057/3553/931/3575/3569/3120/3566/913/930/7124"
"hsa05140","hsa05140","Leishmaniasis",75,0.667339005287483,2.21774832028924,1e-10,3.49e-09,2.25263157894737e-09,3171,"tags=59%, list=19%, signal=48%","7040/2212/2209/3689/4689/4688/9103/3684/2214/653361/3115/3113/3108/1536/3676/3123/1535/7097/3122/3586/718/3117/3119/3111/1378/3112/3127/3593/3118/5595/1379/6300/4793/3654/3553/2002/4792/3120/3688/7042/7124/1432/3592/3716"
"hsa04518","hsa04518","Integrin signaling",151,0.614734919751781,2.16535079365133,1e-10,3.49e-09,2.25263157894737e-09,3076,"tags=48%, list=19%, signal=40%","1277/1278/5159/7040/22801/7058/83706/3687/7450/2324/1311/5155/1282/10319/64098/1284/3689/2200/3684/3908/2335/9459/7412/3910/7148/3384/6696/7059/1293/5880/1291/3676/1292/3912/5156/8515/2321/29780/3791/3082/3681/718/3683/1286/7057/158326/5293/3383/81/1758/60/3695/63923/5228/7060/3674/7424/8503/3678/3672/3679/1285/3915/8440/7448/3688/1299/894/3385/71/3371/7423/3693"
"hsa04380","hsa04380","Osteoclast differentiation",134,0.612249387380675,2.14293822021502,1e-10,3.49e-09,2.25263157894737e-09,3306,"tags=49%, list=20%, signal=40%","7040/54209/2212/7305/6688/11006/1513/10288/2209/2534/9846/695/4689/4688/2213/10990/11027/9103/5336/2214/1436/79168/3937/126014/10859/11025/653361/1435/353514/7048/1535/140885/11024/23547/55423/5293/5971/7186/814/4772/10326/3455/8600/6850/8651/5595/4286/8503/11026/6300/3553/5468/4792/4791/7046/7042/7132/7124/3932/9020/8878/8517/1432/3716/2274/799"
"hsa04060","hsa04060","Cytokine-cytokine receptor interaction",272,0.584133223966602,2.11361932479248,1e-10,3.49e-09,2.25263157894737e-09,3309,"tags=49%, list=20%, signal=40%","7040/3563/94/7133/3624/4803/84957/7293/1438/920/1441/3559/1436/10148/3587/146433/1439/3589/3601/1230/944/7852/654/10673/5008/6361/768211/9547/51330/943/3603/6356/3594/1435/6357/6348/7048/9235/8771/6367/6360/2826/9573/268/8995/3586/8784/6363/4050/959/939/4049/6358/8807/50615/8718/3976/3581/3597/6351/3606/2657/3595/9173/6362/10344/8809/3600/643/6355/1234/23495/414062/6349/2833/3593/652/6366/1237/9560/6359/608/1236/58191/1233/970/3604/64109/115650/8740/3561/3455/8600/729230/3598/6347/6387/6368/9466/6375/6354/6376/2057/6352/11009/23529/6369/3553/90865/3575/3569/4283/269/3566/51561/7046/3560/7042/7132/7124/8744/1235/6846/353500/27190/3623/7850/3592/9180/3952/53342/149233"
"hsa04514","hsa04514","Cell adhesion molecule (CAM) interaction",149,0.586216066243274,2.06195746233643,1e-10,3.49e-09,2.25263157894737e-09,2851,"tags=45%, list=17%, signal=38%","5175/90952/1003/947/6614/3689/1462/942/920/3684/6404/7412/6403/3384/3115/58494/3113/3108/9379/80380/941/933/3676/3123/24146/23114/8506/9672/3122/6402/57863/1493/959/6693/923/3683/57555/3117/3119/29851/57689/3111/201633/5133/3112/5788/3127/3383/940/23308/3133/10666/51208/914/3695/3118/94030/6900/9074/965/3134/3120/3688/257194/9080/3385/1000"
"hsa04062","hsa04062","Chemokine signaling pathway",188,0.577674106267415,2.05414675088137,1e-10,3.49e-09,2.25263157894737e-09,2510,"tags=41%, list=15%, signal=35%","9844/5330/23533/196883/7454/5336/409/2268/2793/146850/3718/3055/653361/1230/109/7852/1794/113/59345/6361/9547/5880/6356/6357/6348/4067/2869/399694/6367/6360/2826/2791/6363/6358/3702/10235/6351/57580/115/6362/10344/643/6355/1234/5293/5335/414062/6349/2833/54331/6366/1237/5294/9560/6359/1236/58191/2870/1233/7074/5331/6464/7409/729230/6347/5595/6387/8503/6368/6375/6354/6376/7410/6352/4793/6369/387"
"hsa04820","hsa04820","Cytoskeleton in muscle cells",230,0.531019551537659,1.90331558451467,1e-10,3.49e-09,2.25263157894737e-09,3814,"tags=43%, list=23%, signal=33%","1277/633/1281/1278/1290/91010/2006/1289/22801/7058/1311/50509/7431/1282/1284/1462/752/2200/3908/2335/1301/7059/1293/2199/64236/2275/1291/3676/7791/1292/271/8515/9672/22795/3339/1634/4811/4627/1286/7057/4001/23345/81624/255631/7170/165904/27063/1729/1302/60/84823/3695/7136/7060/2192/6709/482/3674/9260/7139/4000/3678/3672/9124/3679/1285/2026/478/7111/3688/1299/825/127294/4606/23500/6641/71/57159/4621/3693/2274/4607/7134/4635/200539/5339/26287/270/287/84676/8516/79188/23353/6383/29767/375790/2010/7171"
